,MIN,PTS,AST,LEADER
169,17025.0,8153.0,3093.0,NONLEADER
170,5659.0,1928.0,560.0,NONLEADER
171,18023.0,5340.0,1414.0,NONLEADER
172,6134.0,2282.0,248.0,NONLEADER
173,17649.0,6795.0,1214.0,NONLEADER
174,4558.0,1631.0,356.0,NONLEADER
175,13251.0,6479.0,667.0,NONLEADER
176,10889.0,4668.0,627.0,NONLEADER
177,1639.0,895.0,85.0,NONLEADER
178,27949.0,20286.0,4205.0,NONLEADER
179,4947.0,1858.0,393.0,NONLEADER
180,2855.0,1287.0,166.0,NONLEADER
181,10840.0,3508.0,726.0,NONLEADER
182,10027.0,4143.0,792.0,NONLEADER
183,2278.0,899.0,169.0,NONLEADER
184,837.0,287.0,77.0,NONLEADER
185,33289.0,14905.0,1839.0,NONLEADER
186,17.0,2.0,1.0,NONLEADER
187,4132.0,1102.0,217.0,NONLEADER
188,7255.0,2433.0,593.0,NONLEADER
189,401.0,131.0,20.0,NONLEADER
190,10183.0,5640.0,1507.0,NONLEADER
191,263.0,121.0,11.0,NONLEADER
192,8572.0,2636.0,530.0,NONLEADER
193,1675.0,541.0,405.0,NONLEADER
194,43.0,13.0,1.0,NONLEADER
195,7791.0,2765.0,795.0,NONLEADER
196,2438.0,1170.0,116.0,NONLEADER
197,5232.0,2316.0,343.0,NONLEADER
198,0.0,0.0,0.0,NONLEADER
199,7429.0,2593.0,396.0,NONLEADER
200,270.0,122.0,28.0,NONLEADER
201,14134.0,6286.0,821.0,NONLEADER
202,933.0,365.0,66.0,NONLEADER
203,6449.0,2687.0,275.0,NONLEADER
204,2918.0,1095.0,136.0,NONLEADER
205,28.0,14.0,1.0,NONLEADER
206,87.0,19.0,7.0,NONLEADER
207,2484.0,1382.0,242.0,NONLEADER
208,5420.0,2917.0,802.0,NONLEADER
209,10174.0,3702.0,549.0,NONLEADER
210,1569.0,514.0,142.0,NONLEADER
211,6338.0,2428.0,588.0,NONLEADER
212,25762.0,9597.0,1633.0,NONLEADER
213,5183.0,2742.0,238.0,NONLEADER
214,3385.0,1388.0,343.0,NONLEADER
215,3918.0,1400.0,395.0,NONLEADER
216,15145.0,6162.0,1273.0,NONLEADER
217,25.0,4.0,0.0,NONLEADER
218,14101.0,8737.0,2426.0,NONLEADER
219,5264.0,2269.0,404.0,NONLEADER
220,9829.0,6040.0,1003.0,NONLEADER
221,419.0,150.0,38.0,NONLEADER
222,4335.0,2023.0,470.0,NONLEADER
223,6463.0,2454.0,422.0,NONLEADER
224,591.0,186.0,97.0,NONLEADER
225,5219.0,2719.0,241.0,NONLEADER
226,5580.0,2598.0,698.0,NONLEADER
227,6517.0,3729.0,896.0,NONLEADER
228,2498.0,862.0,168.0,NONLEADER
229,823.0,288.0,38.0,NONLEADER
230,16741.0,9592.0,2499.0,NONLEADER
231,1247.0,443.0,260.0,NONLEADER
232,337.0,74.0,31.0,NONLEADER
233,43675.0,29960.0,9368.0,NONLEADER
