,FIELD_GOAL_MADE_DIFF,FIELD_GOAL_MISSED_DIFF,FREE_THROW_DIFF,REBOUND_DIFF,TURNOVER_DIFF,FOUL_DIFF
572,1,0,0,1,1,1
573,0,1,1,0,0,0
574,0,0,0,1,1,1
575,1,1,1,0,0,0
576,1,0,1,1,0,0
577,0,1,0,0,1,1
578,0,1,0,0,0,1
579,1,0,1,1,1,0
580,0,0,1,0,1,0
581,1,1,0,1,0,1
582,0,0,1,0,0,0
583,1,0,0,1,1,1
584,0,1,1,1,1,1
585,1,0,0,0,0,0
586,0,0,0,0,1,0
587,1,1,1,1,0,0
588,0,1,1,1,0,0
589,1,0,0,0,0,1
590,0,1,0,1,1,1
591,0,0,1,0,0,0
592,0,0,1,1,1,0
593,1,1,0,0,0,1
594,0,1,0,0,1,1
595,1,0,1,1,0,0
596,0,0,1,1,1,0
597,1,1,0,0,0,1
598,1,1,0,1,1,1
599,0,0,1,0,0,0
600,0,0,1,0,1,0
601,1,1,0,1,0,1
602,0,1,0,1,1,1
603,1,0,1,0,0,0
604,1,0,0,1,1,0
605,0,1,1,0,0,0
606,1,1,0,0,0,1
607,0,0,1,1,1,0
608,0,1,1,0,0,0
609,1,0,0,1,1,1
610,0,1,0,0,0,0
611,0,0,1,1,1,1
612,0,1,0,0,1,1
613,1,0,1,1,0,0
614,1,0,0,0,0,0
615,0,1,1,1,0,1
616,0,0,0,1,1,1
617,0,1,0,0,0,0
618,0,1,0,0,1,1
619,1,0,1,1,0,0
620,0,0,1,0,1,0
621,1,1,0,1,0,1
622,0,1,0,0,0,1
623,1,0,1,1,1,0
624,1,0,0,1,1,0
625,0,1,0,0,0,1
626,1,0,0,0,0,0
627,0,0,1,1,1,1
628,0,1,0,1,1,1
629,1,0,0,0,0,0
630,0,0,0,0,0,1
631,0,1,1,1,1,0
632,1,0,1,0,0,0
633,0,1,0,0,0,0
634,1,0,1,0,1,0
635,0,1,0,1,0,0
636,1,1,1,1,0,0
637,0,0,0,0,1,0
638,1,1,1,1,0,0
639,0,0,0,0,1,0
640,0,0,1,0,1,0
641,1,1,0,1,0,1
642,0,0,1,0,0,0
643,1,1,0,1,1,1
644,1,0,0,0,0,1
645,0,0,1,1,1,0
646,1,0,0,0,0,1
647,0,1,1,1,1,0
648,1,0,1,1,1,1
649,0,1,0,0,0,0
650,1,0,1,0,0,0
651,0,1,0,0,1,0
652,1,0,1,1,1,0
653,0,1,0,0,0,1
654,1,0,0,0,1,1
655,0,1,1,0,0,0
656,1,1,0,1,0,1
657,0,0,1,0,0,0
658,1,1,0,1,1,1
659,0,0,1,0,0,0
660,0,0,1,1,1,1
661,0,1,0,0,0,0
662,0,1,0,0,1,1
663,0,0,1,1,0,0
664,0,1,1,1,0,0
665,0,0,0,0,1,0
666,1,0,1,1,0,0
667,0,1,0,0,1,0
668,0,0,0,0,0,1
669,1,1,1,1,1,0
670,1,0,1,1,0,0
671,0,0,0,0,1,0
672,1,1,0,0,1,1
673,0,0,1,1,0,0
674,1,0,0,1,0,0
675,0,1,0,0,1,1
676,0,1,0,0,1,0
677,1,0,1,1,0,0
678,1,0,1,1,1,0
679,0,1,0,0,0,1
680,1,0,0,1,1,0
681,0,0,0,0,0,1
682,0,1,0,0,0,0
683,1,0,1,1,1,0
684,0,1,1,0,0,0
685,1,0,0,1,0,1
686,1,0,1,1,0,0
687,0,1,0,0,1,0
688,0,0,0,1,1,1
689,0,1,1,0,0,0
690,1,1,0,1,0,1
691,0,0,1,0,1,0
692,0,0,0,0,1,0
693,1,1,1,0,0,0
694,0,1,0,1,1,0
695,1,0,1,0,0,0
696,1,0,0,1,0,0
697,0,1,0,0,1,1
698,1,1,0,0,0,1
699,0,0,1,1,1,0
700,1,1,0,0,0,0
701,0,0,1,1,1,0
702,1,1,0,0,0,0
703,0,0,1,1,1,1
704,1,0,0,0,0,1
705,0,1,1,1,1,0
706,1,0,0,0,1,1
707,0,1,1,1,0,0
708,0,1,0,1,1,1
709,1,0,1,0,0,0
710,1,0,0,0,1,1
711,0,1,1,1,0,0
712,1,0,1,1,0,0
713,0,1,0,0,0,1
714,0,1,0,0,0,1
715,1,0,0,1,0,0
716,0,1,0,0,1,1
717,1,0,1,1,0,0
718,0,0,1,1,1,0
719,1,1,0,0,0,1
720,1,0,1,0,0,0
721,0,1,0,0,1,1
722,0,0,1,0,1,1
723,1,1,0,1,0,0
724,0,1,0,0,0,1
725,1,0,0,1,1,0
726,1,1,0,1,0,1
727,0,0,1,0,1,0
