,FIELD_GOAL_MADE,FIELD_GOAL_MISSED,FREE_THROW,REBOUND,TURNOVER,FOUL,VIOLATION,SUBSTITUTION,EJECTION,FGA
409,19,17,16,18,8,9,0,15,0,36
410,22,20,17,28,7,7,0,11,0,42
411,16,32,8,24,9,13,0,10,0,48
412,16,24,11,18,9,16,0,17,0,40
413,21,25,24,25,3,11,0,14,0,46
414,24,21,7,12,6,8,2,13,0,45
415,27,16,8,20,9,6,0,11,0,43
416,24,30,11,29,8,12,0,9,0,54
417,27,27,11,26,5,8,0,12,0,54
418,25,18,6,21,6,7,0,10,0,43
419,21,30,7,22,5,7,0,11,0,51
420,20,24,7,30,7,6,0,14,0,44
421,13,31,4,20,4,6,2,11,0,44
422,23,20,9,21,5,10,0,15,0,43
423,21,21,12,17,3,9,1,11,0,42
424,16,26,17,25,8,12,0,14,0,42
425,22,27,11,22,3,10,1,10,0,49
426,24,27,6,27,2,9,1,13,0,51
427,17,26,11,25,6,6,1,13,0,43
428,19,22,27,22,5,12,0,19,0,41
429,15,22,14,20,11,19,1,17,1,37
430,19,24,5,21,6,9,1,11,0,43
431,20,26,10,25,5,5,1,10,0,46
432,20,15,10,18,13,10,0,15,0,35
433,24,21,12,15,4,13,0,11,0,45
434,18,19,17,23,11,13,2,12,0,37
435,15,29,15,21,7,13,0,12,0,44
436,14,18,21,18,7,8,1,12,0,32
437,16,28,9,19,5,13,0,11,0,44
438,26,25,6,22,6,9,0,11,0,51
439,17,18,9,19,14,7,0,11,0,35
440,19,27,8,19,4,9,0,12,0,46
441,20,19,10,23,9,6,0,9,0,39
442,21,19,12,20,9,13,0,11,0,40
443,17,26,13,23,10,14,0,11,0,43
444,22,23,7,16,4,9,0,12,0,45
445,22,21,7,23,8,9,0,13,0,43
446,18,22,10,17,6,11,0,11,0,40
447,24,17,9,22,9,9,0,12,0,41
448,15,33,10,25,9,6,0,13,0,48
449,22,20,10,22,3,7,0,11,0,42
450,22,29,10,26,4,7,0,9,0,51
451,25,21,8,23,6,12,0,11,0,46
452,22,19,17,22,4,8,0,11,0,41
453,19,23,8,20,5,14,1,11,0,42
454,21,26,11,13,4,10,1,12,0,47
455,24,26,12,28,6,8,0,13,0,50
456,22,25,8,23,9,10,0,13,0,47
457,21,27,6,23,8,5,0,11,0,48
458,22,19,17,17,7,5,0,9,0,41
459,27,21,2,18,8,13,1,13,0,48
460,21,24,19,25,7,13,0,14,0,45
461,23,26,8,16,2,12,0,14,0,49
462,19,29,15,26,8,8,1,15,0,48
463,15,29,9,28,15,9,0,10,0,44
464,25,22,17,19,5,7,0,12,0,47
465,28,18,10,19,9,9,0,10,0,46
466,17,29,10,17,1,13,0,13,0,46
467,20,25,18,30,3,10,1,12,0,45
468,20,20,14,20,6,9,0,16,0,40
469,19,23,7,21,11,8,0,11,0,42
470,27,28,9,24,2,6,0,11,0,55
471,22,20,6,21,12,8,0,11,0,42
472,22,28,16,31,6,10,0,12,0,50
473,21,22,11,17,4,11,0,10,0,43
474,26,29,10,32,4,6,0,11,0,55
475,19,28,8,22,7,10,0,13,0,47
476,17,20,16,19,7,8,0,10,0,37
477,22,24,3,22,5,10,0,8,0,46
478,21,17,14,21,6,16,0,10,0,38
479,15,29,17,13,5,9,0,11,0,44
480,19,26,1,21,9,5,0,12,0,45
481,21,26,8,27,6,3,0,11,0,47
482,25,17,3,17,9,9,0,16,0,42
483,24,21,11,20,8,8,0,12,0,45
484,19,27,10,23,10,10,1,12,0,46
485,25,23,11,21,9,10,1,11,0,48
486,25,15,18,20,12,14,0,12,0,40
487,20,26,12,18,11,14,1,17,0,46
488,21,27,12,25,5,10,0,10,0,48
489,24,23,11,27,8,11,0,12,0,47
490,19,26,12,20,4,9,0,10,0,45
491,23,22,8,24,5,10,0,12,0,45
492,23,27,7,26,7,11,0,12,0,50
493,20,22,12,20,10,8,1,11,0,42
494,24,25,8,18,0,8,0,10,0,49
495,24,17,4,16,6,7,0,9,0,41
496,22,18,13,19,7,12,1,17,0,40
497,23,22,15,18,4,9,1,10,0,45
498,22,24,13,24,4,13,0,13,0,46
499,24,24,15,20,2,9,1,11,0,48
500,20,26,12,18,6,9,0,15,0,46
