,GAME_ID,TEAM_NAME,WL
304,0022300024,Clippers,L
305,0022300025,Timberwolves,W
306,0022300021,Spurs,L
307,0022300026,Lakers,W
308,0022300019,Pacers,W
309,0022300024,Nuggets,W
310,0022300023,Trail Blazers,L
311,0022300023,Jazz,W
312,0022300021,Thunder,W
313,0022300022,Pelicans,W
314,0022300193,Knicks,W
315,0022300196,Bulls,L
316,0022300198,Kings,W
317,0022300194,76ers,L
318,0022300198,Lakers,L
319,0022300194,Celtics,W
320,0022300195,Raptors,L
321,0022300192,Wizards,L
322,0022300196,Magic,W
323,0022300195,Bucks,W
324,0022300192,Mavericks,W
325,0022300197,Timberwolves,L
326,0022300197,Suns,W
327,0022300199,Cavaliers,W
328,0022300193,Hawks,L
329,0022300199,Trail Blazers,L
330,0022300201,Thunder,W
331,0022300200,Heat,W
332,0022300201,Warriors,L
333,0022300200,Nets,L
334,0022300037,Clippers,W
335,0022300037,Rockets,L
336,0022300028,Knicks,W
337,0022300031,Raptors,L
338,0022300036,Lakers,W
339,0022300029,Hawks,L
340,0022300034,Pelicans,W
341,0022300033,Magic,W
342,0022300035,Suns,W
343,0022300030,Pistons,L
344,0022300036,Trail Blazers,L
345,0022300034,Nuggets,L
346,0022300031,Celtics,W
347,0022300033,Bulls,L
348,0022300035,Jazz,L
349,0022300027,Hornets,L
350,0022300032,Kings,W
351,0022300029,76ers,W
352,0022300032,Spurs,L
353,0022300027,Bucks,W
354,0022300028,Wizards,L
355,0022300030,Cavaliers,W
356,0022300207,Thunder,W
357,0022300202,Hornets,L
358,0022300206,Spurs,L
359,0022300207,Warriors,L
360,0022300205,Bucks,W
361,0022300205,Mavericks,L
362,0022300203,Timberwolves,W
363,0022300204,Heat,L
364,0022300206,Grizzlies,W
365,0022300204,Bulls,W
366,0022300202,Knicks,W
367,0022300203,Pelicans,L
368,0022300209,Pacers,L
369,0022300208,Nets,L
370,0022300215,Trail Blazers,L
371,0022300208,76ers,W
372,0022300213,Celtics,W
373,0022300211,Pistons,L
374,0022300214,Jazz,L
375,0022300209,Magic,W
376,0022300212,Mavericks,L
377,0022300215,Thunder,W
378,0022300216,Rockets,L
379,0022300210,Nuggets,L
380,0022300212,Kings,W
381,0022300210,Cavaliers,W
382,0022300211,Raptors,W
383,0022300216,Lakers,W
384,0022300214,Suns,W
385,0022300213,Grizzlies,L
386,0022300218,Nuggets,W
387,0022300223,Clippers,W
388,0022300218,Pistons,L
389,0022300219,Bucks,W
390,0022300221,Timberwolves,W
391,0022300220,Bulls,L
392,0022300219,Wizards,L
393,0022300221,Knicks,L
394,0022300223,Spurs,L
395,0022300217,Celtics,L
396,0022300224,Rockets,L
397,0022300224,Warriors,W
398,0022300217,Hornets,W
399,0022300222,Pelicans,W
400,0022300220,Heat,W
401,0022300222,Kings,L
402,0022300041,Suns,W
403,0022300040,Cavaliers,W
404,0022300042,Jazz,L
405,0022300040,76ers,L
406,0022300038,Raptors,L
407,0022300042,Lakers,W
408,0022300041,Trail Blazers,L
409,0022300038,Magic,W
410,0022300039,Pacers,W
411,0022300039,Hawks,L
412,0022300226,Magic,W
413,0022300232,Timberwolves,W
414,0022300235,Clippers,W
415,0022300237,Trail Blazers,W
416,0022300238,Mavericks,W
417,0022300228,Celtics,W
418,0022300227,Nets,L
419,0022300229,Heat,W
420,0022300234,Thunder,W
421,0022300228,Bucks,L
422,0022300237,Jazz,L
423,0022300238,Lakers,L
424,0022300233,Kings,L
425,0022300235,Spurs,L
426,0022300227,Hawks,W
427,0022300236,Warriors,L
428,0022300236,Suns,W
429,0022300230,Raptors,W
430,0022300233,Pelicans,W
431,0022300231,Grizzlies,L
432,0022300226,Nuggets,L
433,0022300225,Hornets,W
434,0022300225,Wizards,L
435,0022300230,Pacers,L
436,0022300229,Cavaliers,L
437,0022300232,76ers,L
438,0022300234,Bulls,L
439,0022300231,Rockets,W
440,0022300049,Bucks,W
441,0022300045,Heat,L
442,0022300046,Raptors,W
443,0022300048,Nuggets,L
444,0022300044,Suns,W
445,0022300052,Pelicans,W
446,0022300048,Rockets,W
447,0022300050,Timberwolves,L
448,0022300043,Magic,W
449,0022300043,Celtics,L
450,0022300050,Kings,W
451,0022300046,Bulls,L
452,0022300051,Warriors,W
453,0022300049,Wizards,L
454,0022300047,Pacers,W
455,0022300052,Clippers,L
456,0022300047,Pistons,L
457,0022300051,Spurs,L
458,0022300045,Knicks,W
459,0022300044,Grizzlies,L
460,0022300239,Thunder,L
461,0022300243,Jazz,W
462,0022300240,Nets,W
463,0022300242,Lakers,W
464,0022300244,Clippers,W
465,0022300240,Heat,L
466,0022300243,Pelicans,L
467,0022300242,Cavaliers,L
468,0022300239,76ers,W
469,0022300241,Wizards,L
470,0022300244,Mavericks,L
471,0022300241,Hawks,W
472,0022300248,Hornets,L
473,0022300250,Nets,W
474,0022300246,Hawks,L
475,0022300249,Grizzlies,L
476,0022300251,Raptors,L
477,0022300247,Suns,W
478,0022300249,Timberwolves,W
479,0022300248,Magic,W
480,0022300245,Bucks,W
481,0022300245,Trail Blazers,L
482,0022300247,Knicks,L
483,0022300250,Bulls,L
484,0022300251,Cavaliers,W
485,0022300252,Nuggets,W
486,0022300246,Celtics,W
487,0022300252,Spurs,L
488,0022300255,Lakers,L
489,0022300253,Pistons,L
490,0022300254,Trail Blazers,W
491,0022300256,Jazz,W
492,0022300257,Nuggets,W
493,0022300256,Pelicans,L
494,0022300257,Clippers,L
495,0022300253,Wizards,W
496,0022300255,76ers,W
497,0022300254,Pacers,L
498,0022300059,Mavericks,W
499,0022300054,Raptors,L
500,0022300053,Bulls,L
501,0022300053,Celtics,W
502,0022300056,Bucks,W
503,0022300056,Heat,L
504,0022300060,Kings,W
505,0022300058,Thunder,L
506,0022300058,Timberwolves,W
507,0022300054,Nets,W
508,0022300060,Warriors,L
509,0022300055,Hawks,L
510,0022300057,Hornets,L
511,0022300055,Cavaliers,W
512,0022300059,Rockets,L
513,0022300057,Knicks,W
514,0022300262,76ers,L
515,0022300261,Grizzlies,W
516,0022300260,Suns,L
517,0022300259,Wizards,L
518,0022300263,Rockets,L
519,0022300260,Raptors,W
520,0022300262,Pelicans,W
521,0022300258,Lakers,W
522,0022300258,Pistons,L
523,0022300261,Jazz,L
524,0022300264,Kings,L
525,0022300259,Magic,W
526,0022300263,Nuggets,W
527,0022300264,Clippers,W
528,0022300272,Hawks,W
529,0022300267,Heat,W
530,0022300269,Bucks,L
531,0022300271,Thunder,W
532,0022300271,Lakers,L
533,0022300266,Hornets,W
534,0022300265,Trail Blazers,W
535,0022300265,Cavaliers,L
536,0022300270,Jazz,L
537,0022300273,Warriors,W
538,0022300268,Knicks,W
539,0022300273,Clippers,L
540,0022300269,Bulls,W
541,0022300270,Timberwolves,W
542,0022300268,Pistons,L
543,0022300267,Pacers,L
544,0022300272,Spurs,L
545,0022300266,Nets,L
546,0022300277,Mavericks,L
547,0022300279,Suns,L
548,0022300276,Raptors,L
549,0022300279,Nuggets,W
550,0022300274,Wizards,L
551,0022300278,Spurs,L
552,0022300277,Grizzlies,W
553,0022300274,Magic,W
554,0022300275,76ers,L
555,0022300278,Pelicans,W
556,0022300276,Knicks,W
557,0022300275,Celtics,W
558,0022300287,Mavericks,L
559,0022300291,Rockets,L
560,0022300286,Bucks,W
561,0022300284,Pacers,W
562,0022300287,Thunder,W
563,0022300289,Trail Blazers,L
564,0022300281,Hornets,L
